imo,ism_name,ism_imo,ism_address,owner_name,owner_imo,owner_address,commercial_name,commercial_imo,commercial_address
9334727,TANKERSKA PLOVIDBA DD,0099854,"ulica Bozidara Petranovica 4, HR-23000, Zadar, Croatia.",DUGI OTOK SHIPPING LLC,5956655,"C/O: Tankerska Plovidba dd ulica Bozidara Petranovica 4, HR-23000, Zadar, Croatia.",TANKERSKA PLOVIDBA DD,0099854,"ulica Bozidara Petranovica 4, HR-23000, Zadar, Croatia."
9388807,STAR MARINE MANAGEMENT INC,1317884,"1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece.",JOYMAR EXPRESS LTD,0192511,"C/O: Star Marine Management Inc 1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece.",STAR MARINE MANAGEMENT INC,1317884,"1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece."
9305556,STAR MARINE MANAGEMENT INC,1317884,"1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece.",NAXIA NAVARC CORP,0355378,"C/O: Star Marine Management Inc 1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece.",STAR MARINE MANAGEMENT INC,1317884,"1, Zisimopoulou Street, Glyfada, 166 74, Athens, Greece."
9232448,STAR OCEAN SHIPMANAGE LTD,6272611,"Room 1706A, 17th Floor, Building A, World Trade Tower, 6, Xianggang Zhonglu, Shinan Qu, Qingdao, Shandong, China.",ETERNAL MASCOT SHIPPING LTD,6276490,"C/O: Star Ocean Shipmanage Ltd Room 1706A, 17th Floor, Building A, World Trade Tower, 6, Xianggang Zhonglu, Shinan Qu, Qingdao, Shandong, China.",STAR OCEAN SHIPMANAGE LTD,6272611,"Room 1706A, 17th Floor, Building A, World Trade Tower, 6, Xianggang Zhonglu, Shinan Qu, Qingdao, Shandong, China."
9232450,FORT BLUE SHIP MANAGEMENT LLC,6323935,"Office 2111, Lake Central Tower, Business Bay, Bur Dubai, PO Box 181030, Dubai, United Arab Emirates.",RENEEZ SHIPPING LTD,6388435,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands.",RENEEZ SHIPPING LTD,6388435,"Trust Company Complex, Ajeltake Road, Ajeltake, Majuro MH 96960, Marshall Islands."
9255880,NANJING HAIGAO SHIPPING CO LTD,6343425,"15th Floor, Ruihua Building, 315, Zhongshan Nanlu, Qinhuai Qu, Nanjing, Jiangsu, China.",SKY WEALTHY LTD,6352370,"C/O: Nanjing Haigao Shipping Co Ltd 15th Floor, Ruihua Building, 315, Zhongshan Nanlu, Qinhuai Qu, Nanjing, Jiangsu, China.",NANJING HAIGAO SHIPPING CO LTD,6343425,"15th Floor, Ruihua Building, 315, Zhongshan Nanlu, Qinhuai Qu, Nanjing, Jiangsu, China."
9198094,UNKNOWN,9991001,Unknown,BLUESPECTRUM SHIPPING SA,6459297,"60th Floor, BICSA Financial Center, Avenida Balboa, Panama City, Panama.",BLUESPECTRUM SHIPPING SA,6459297,"60th Floor, BICSA Financial Center, Avenida Balboa, Panama City, Panama."
9334739,TANKERSKA PLOVIDBA DD,0099854,"ulica Bozidara Petranovica 4, HR-23000, Zadar, Croatia.",OLIB SHIPPING LLC,5956672,"C/O: Tankerska Plovidba dd ulica Bozidara Petranovica 4, HR-23000, Zadar, Croatia.",TANKERSKA PLOVIDBA DD,0099854,"ulica Bozidara Petranovica 4, HR-23000, Zadar, Croatia."
9296389,SWISS CARRIERS SA,5997044,"40, Nafsikas Street, Voula, 166 73, Athens, Greece.",VELEN SHIPPING DEVELOPMENTS SA,0287100,"C/O: Swiss Carriers SA 40, Nafsikas Street, Voula, 166 73, Athens, Greece.",SWISS CARRIERS SA,5997044,"40, Nafsikas Street, Voula, 166 73, Athens, Greece."
9446116,BERNHARD SCHULTE SINGAPORE,1983906,"08-00, Bernhard Schulte House, 108, Middle Road, Singapore 188967",TMN CO LTD,5890541,"15th Floor, Manorom Building, 3354/50, Phraramthi 4 Road (Rama IV), Khlongtoey, Bangkok, 10110, Thailand.",TMN CO LTD,5890541,"15th Floor, Manorom Building, 3354/50, Phraramthi 4 Road (Rama IV), Khlongtoey, Bangkok, 10110, Thailand."
